subject-id,DSC,ASD,HD95,NSD,model,anatomy
s1349_hip_msk,0.8,1.02,3.61,0.4,MultiScale2DPermuteConcat,hip
s1349_hip_msk,0.8,1.14,4.12,0.35,TLPredictor,hip
s0776_femur_left_msk,0.95,0.77,2.83,0.86,MultiScale2DPermuteConcat,femur
s1058_rib_msk,0.35,1.34,8.31,0.35,UNet,rib
sub-verse138_vert-24-seg-vert_msk,0.81,1.05,3.61,0.69,OneDConcat,vertebra
s1349_hip_msk,0.78,1.63,4.24,0.33,UNETR,hip
s1058_rib_msk,0.31,1.48,7.87,0.33,UNETR,rib
sub-verse138_vert-24-seg-vert_msk,0.84,0.86,3.61,0.71,TwoDPermuteConcat,vertebra
s0776_femur_left_msk,0.94,0.84,2.83,0.84,SwinUNETR,femur
s0776_femur_left_msk,0.95,0.73,2.24,0.9,UNet,femur
s1058_rib_msk,0.17,2.21,18.38,0.2,OneDConcat,rib
s1349_hip_msk,0.84,0.88,3.61,0.42,UNet,hip
sub-verse138_vert-24-seg-vert_msk,0.83,0.96,3.61,0.74,UNETR,vertebra
s1349_hip_msk,0.84,1.11,2.83,0.46,SwinUNETR,hip
sub-verse138_vert-24-seg-vert_msk,0.8,1.01,4.24,0.65,TLPredictor,vertebra
s1058_rib_msk,0.46,1.03,5.48,0.45,SwinUNETR,rib
s0776_femur_left_msk,0.95,0.67,2.0,0.93,AttentionUnet,femur
sub-verse138_vert-24-seg-vert_msk,0.84,0.85,3.46,0.74,AttentionUnet,vertebra
s1349_hip_msk,0.77,1.22,3.61,0.31,OneDConcat,hip
s1058_rib_msk,0.16,2.64,9.0,0.22,TLPredictor,rib
s0776_femur_left_msk,0.93,1.06,4.0,0.79,TwoDPermuteConcat,femur
s0111_rib_msk,0.2,2.43,20.66,0.23,OneDConcat,rib
s0776_femur_right_msk,0.95,0.74,2.24,0.89,MultiScale2DPermuteConcat,femur
s0182_hip_msk,0.82,0.95,3.0,0.41,OneDConcat,hip
sub-verse058_vert-19-seg-vert_msk,0.89,0.55,1.73,0.91,TwoDPermuteConcat,vertebra
s0182_hip_msk,0.85,0.76,2.83,0.53,MultiScale2DPermuteConcat,hip
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,2.0,0.88,OneDConcat,vertebra
s0111_rib_msk,0.55,1.02,7.35,0.46,SwinUNETR,rib
s0776_femur_right_msk,0.95,0.72,2.24,0.92,AttentionUnet,femur
s0182_hip_msk,0.83,0.94,2.83,0.43,UNETR,hip
sub-verse058_vert-19-seg-vert_msk,0.87,0.64,2.0,0.9,MultiScale2DPermuteConcat,vertebra
s0111_rib_msk,0.51,1.06,8.94,0.45,MultiScale2DPermuteConcat,rib
s0776_femur_right_msk,0.95,0.73,2.24,0.89,SwinUNETR,femur
sub-verse058_vert-19-seg-vert_msk,0.85,0.83,2.24,0.87,TLPredictor,vertebra
s0182_hip_msk,0.87,0.66,2.24,0.58,AttentionUnet,hip
s0776_femur_right_msk,0.93,1.08,3.16,0.77,TLPredictor,femur
s0111_rib_msk,0.47,1.53,4.9,0.43,UNet,rib
s0111_rib_msk,0.23,2.23,12.96,0.21,TLPredictor,rib
sub-verse058_vert-19-seg-vert_msk,0.89,0.59,1.41,0.94,SwinUNETR,vertebra
s0182_hip_msk,0.86,0.77,3.16,0.54,UNet,hip
s0776_femur_right_msk,0.95,0.7,2.24,0.92,UNet,femur
s0182_hip_msk,0.87,0.69,2.24,0.55,TwoDPermuteConcat,hip
s0776_femur_right_msk,0.94,0.88,2.45,0.87,UNETR,femur
sub-verse058_vert-19-seg-vert_msk,0.9,0.48,1.41,0.94,AttentionUnet,vertebra
s0111_rib_msk,0.51,1.11,4.69,0.46,TwoDPermuteConcat,rib
sub-verse058_vert-19-seg-vert_msk,0.86,0.72,2.0,0.91,UNETR,vertebra
s0111_rib_msk,0.5,0.97,4.58,0.44,AttentionUnet,rib
s0182_hip_msk,0.82,0.96,3.46,0.44,TLPredictor,hip
s0776_femur_right_msk,0.91,1.4,4.0,0.66,OneDConcat,femur
s0776_femur_right_msk,0.95,0.75,2.24,0.91,TwoDPermuteConcat,femur
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,1.73,0.9,UNet,vertebra
s0182_hip_msk,0.88,0.66,2.24,0.59,SwinUNETR,hip
s0111_rib_msk,0.35,1.79,7.55,0.34,UNETR,rib
